estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
130  -  RETIRO II,393  -  BARRIO 31,520,-34.5927,-58.375,-34.58309,-58.37782,1.0993228191379913
094  -  GUZMAN,254  -  PLAZA RAFAEL HERNANDEZ,2084,-34.5917,-58.4497,-34.5625,-58.4552,3.285706209141445
116  -  HOSPITAL ALEMAN,114  -  DELLA PAOLERA,1136,-34.5921,-58.4028,-34.5949,-58.3724,2.800050371801547
066  -  BILLINGHURST,352  -  SAN JOSE DE FLORES,1986,-34.5947,-58.4139,-34.6289,-58.4627,5.865713439784499
111  -  MACACHA GUEMES,004  -  PLAZA ROMA,276,-34.6048,-58.3639,-34.6018,-58.3691,0.5811952589337224
390  -  DE LOS OMBUES,254  -  PLAZA RAFAEL HERNANDEZ,1140,-34.56,-58.428,-34.5625,-58.4552,2.506203401074101
191  -  RIVADAVIA Y 9 DE JULIO,186  -  MANZANA 66,1487,-34.6084,-58.3808,-34.6135,-58.4061,2.383804605708762
208  -  NICASIO ORONO,028  -  PLAZA DE LA BANDERA,1448,-34.5964,-58.4594,-34.6295,-58.4944,4.879106293856444
114  -  DELLA PAOLERA,196  -  HOSPITAL ARGERICH,1276,-34.5949,-58.3724,-34.6278,-58.3661,3.703466755819587
103  -  MALBA,005  -  PLAZA ITALIA,1877,-34.5771,-58.403,-34.5808,-58.4204,1.6452718592642783
310  -  FREIRE II,364  -  CERRETTI Y MANUELA PEDRAZA,1490,-34.5799,-58.4443,-34.5691,-58.5003,5.26593646830121
193  -  ARENALES Y AGUERO,334  -  CENTRO DE EXPOSICIONES,616,-34.5909,-58.4061,-34.5841,-58.3907,1.5997273172118922
117  -  HUMBERTO 1°,373  -  JORGELINA DE SIMONE,560,-34.6199,-58.3742,-34.624,-58.3906,1.5683942772750266
044  -  ECOPARQUE,118  -  MEXICO,1536,-34.5758,-58.4143,-34.6168,-58.4027,4.681002279584723
174  -  MINISTERIO DE EDUCACION,130  -  RETIRO II,579,-34.5972,-58.3918,-34.5927,-58.375,1.6171349578512022
007  -  OBELISCO,007  -  OBELISCO,1452,-34.6058,-58.3807,-34.6058,-58.3807,0.0
215  -  HOSPITAL ALVAREZ,278  -  DONATO ALVAREZ,918,-34.6231,-58.4684,-34.6021,-58.4655,2.3501265309592845
187  -  JOSE MARIA MORENO,049  -  33 ORIENTALES,730,-34.6202,-58.4356,-34.6288,-58.4223,1.547734776758284
058  -  MINISTRO CARRANZA,261  -  QUINTEROS LIDORO,1120,-34.5749,-58.4353,-34.5523,-58.4509,2.890627352923313
255  -  BARRANCAS DE BELGRANO,390  -  DE LOS OMBUES,607,-34.5599,-58.4482,-34.56,-58.428,1.8498019947819995
347  -  CARABOBO,219  -  PARQUE CHACABUCO II,474,-34.626,-58.4553,-34.6363,-58.4439,1.5490805668710446
140  -  LAS CASAS,161  -  HUMAHUACA,1583,-34.6359,-58.4157,-34.6021,-58.4195,3.7744403234189114
275  -  PLAZA 24 DE SEPTIEMBRE,024  -  ALSINA,2818,-34.6071,-58.4485,-34.6108,-58.3806,6.227725918029482
182  -  RAVIGNANI Y GUATEMALA,015  -  AMENABAR,1112,-34.5781,-58.4351,-34.5719,-58.4475,1.328224820100553
137  -  AZOPARDO Y CHILE,137  -  AZOPARDO Y CHILE,1729,-34.6157,-58.3676,-34.6157,-58.3676,0.0
097  -  AVELINO DIAZ,333  -  PARQUE DE LA ESTACION,2834,-34.6353,-58.4275,-34.608,-58.4118,3.358405383060306
197  -  PLAZA CIUDAD DE UDINE,207  -  PLAZA ARENALES,829,-34.621,-58.493,-34.6001,-58.5117,2.8861102636201372
229  -  RIGLOS,161  -  HUMAHUACA,1599,-34.631,-58.4352,-34.6021,-58.4195,3.520076601117187
