ID,NUMERO,NOMBRE,DIRECCION,BARRIO,COMUNA,EMPLAZAMIENTO,ANCLAJES,QUEDA ABIERTA,Latitud,Longitud
99,99,MALABIA,780 Malabia & Loyola,VILLA CRESPO,COMUNA 15,CALZADA,20.0,1,-34.5963,-58.4357
329,100,PLAZA GURRUCHAGA,1078 Gurruchaga,VILLA CRESPO,COMUNA 15,CALZADA,20.0,1,-34.5931,-58.4351
101,101,FITZ ROY,1092 Fitz Roy & Loyola,CHACARITA,COMUNA 15,CALZADA,20.0,1,-34.5891,-58.4423
102,102,ROSETI,50 Roseti & Dorrego Av.,CHACARITA,COMUNA 15,CALZADA,12.0,1,-34.5864,-58.4460
242,103,MALBA,"3051 San Martin De Tours & Figueroa Alcorta, Pres. Av.",PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5771,-58.4030
104,104,FEDERICO LACROZE,1100 Guzman Av. & Corrientes Av.,CHACARITA,COMUNA 15,PLAZOLETA,30.0,1,-34.5876,-58.4551
105,105,15 DE NOVIEMBRE,2687 15 De Noviembre De 1889 & Catamarca,PARQUE PATRICIOS,COMUNA 4,CALZADA,16.0,3,-34.6340,-58.4010
68,105,PARQUE SAAVEDRA,García del Río 3590,SAAVEDRA,COMUNA 12,CALZADA,16.0,1,-34.5521,-58.4805
461,106,MOSCONI Y CONSTITUYENTES,Av. Constituyente 4710,PARQUE CHAS,COMUNA 15,VEREDA,16.0,1,-34.5809,-58.4936
106,106,RINCON,2091 Republica Bolivariana De Venezuela,BALVANERA,COMUNA 3,CALZADA,20.0,3,-34.6152,-58.3959
107,107,HOSPITAL GARRAHAN,Brasil & Pichincha,PARQUE PATRICIOS,COMUNA 4,VEREDA,16.0,1,-34.6303,-58.3963
203,108,USINA DEL ARTE,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",BOCA,COMUNA 4,VEREDA,24.0,1,-34.6289,-58.3562
77,109,ESTACION PUEYRREDON,Bolivia 5071,VILLA PUEYRREDON,COMUNA 12,VEREDA,16.0,1,-34.5811,-58.5015
225,109,LERMA,"175 Lerma & Alvarez, Julian",VILLA CRESPO,COMUNA 15,CALZADA,20.0,3,-34.5968,-58.4295
110,110,GUARDIA VIEJA,3500 Guardia Vieja & Billinghurst,ALMAGRO,COMUNA 5,CALZADA,20.0,3,-34.6022,-58.4141
457,110,PLAZA CD DE BANFF,Roma 786,VERSALLES,COMUNA 10,CALZADA,8.0,1,-34.6281,-58.5217
111,111,MACACHA GUEMES,"350 Guemes, Macacha & Dealessi, Pierina",PUERTO MADERO,COMUNA 1,PLAZOLETA,30.0,1,-34.6048,-58.3639
112,112,9 DE JULIO,"320 Irigoyen, Bernardo De & Moreno",MONSERRAT,COMUNA 1,PLAZOLETA,20.0,1,-34.6121,-58.3805
215,113,GUATEMALA,"4773 Guatemala & Borges, Jorge Luis",PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5857,-58.4251
114,114,DELLA PAOLERA,"297 Della Paolera, Carlos M. & Alem, Leandro N. Av.",RETIRO,COMUNA 1,PLAZOLETA,32.0,1,-34.5949,-58.3724
115,115,QUINTANA,"600 Quintana, Manuel, Pres. Av. & Haedo, Eduardo V., Pres.",RECOLETA,COMUNA 2,VEREDA,16.0,0,-34.5878,-58.3908
116,116,HOSPITAL ALEMAN,Beruti & Ecuador,RECOLETA,COMUNA 2,CALZADA,12.0,1,-34.5921,-58.4028
117,117,HUMBERTO 1°,"1016 Peru & Calvo, Carlos",SAN TELMO,COMUNA 1,CALZADA,16.0,1,-34.6199,-58.3742
118,118,MEXICO,Saavedra & Mexico,BALVANERA,COMUNA 3,CALZADA,20.0,1,-34.6168,-58.4027
119,119,EMILIO MITRE,"Pacheco De Melo, Jose Andres & Larrea",RECOLETA,COMUNA 2,PLAZA CERRADA,20.0,0,-34.5885,-58.3978
120,120,HOSPITAL RAMOS MEJIA,3084 Agrelo & Urquiza,BALVANERA,COMUNA 3,CALZADA,20.0,1,-34.6175,-58.4092
121,121,YATAY,925 Yatay& Humahuaca,ALMAGRO,COMUNA 5,CALZADA,20.0,1,-34.6008,-58.4283
122,122,COSTA RICA,"4090 Costa Rica & Acuña De Figueroa, Francisco",PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5916,-58.4204
505,123,ARMENIA,2315 Armenia & Charcas,PALERMO,COMUNA 14,CALZADA,20.0,3,-34.5853,-58.4211
207,123,BASUALDO Y RODO,1700 Guardia Nacional,MATADEROS,COMUNA 9,CALZADA,16.0,1,-34.6523,-58.4874
124,124,UGARTECHE,3050 Ugarteche & Cabello,PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5807,-58.4125
205,125,F. J. SANTAMARIA DE ORO,Fray Justo Santamaria De Oro &Guatemala,PALERMO,COMUNA 14,VEREDA,16.0,1,-34.5834,-58.4281
126,126,MINISTERIO DE JUSTICIA Y SEGURIDAD,"Regimiento De Patricios Av. & Araoz De Lamadrid, Gregorio, Gral.",BOCA,COMUNA 4,VEREDA/dentro del ministerio,16.0,1,-34.6401,-58.3693
417,127,PLAZA LEONARDO N. ALEM,Cochrane 2407,VILLA PUEYRREDON,COMUNA 12,VEREDA,20.0,1,-34.5763,-58.5025
127,127,SANTOS DUMONT Y OTERO,"4392 Dumont, Santos & Otero",CHACARITA,COMUNA 15,CALZADA,16.0,3,-34.5923,-58.4531
128,128,PARQUE DEL BAJO,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General",SAN NICOLAS,COMUNA 1,PLAZA ABIERTA,20.0,1,-34.6052,-58.3680
212,129,VELASCO,"285 Ramirez De Velasco, Juan & Alvarez, Julian",VILLA CRESPO,COMUNA 15,CALZADA,16.0,1,-34.6002,-58.4349
130,130,RETIRO II,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",RETIRO,COMUNA 1,PLAZA ABIERTA,40.0,1,-34.5927,-58.3750
131,131,HOSPITAL DE CLINICAS,"Uriburu Jose E., Pres. & Paraguay",RECOLETA,COMUNA 2,VEREDA,16.0,1,-34.5983,-58.3990
132,132,CORRIENTES,Reconquista & Corrientes Av.,SAN NICOLAS,COMUNA 1,PLAZOLETA,12.0,1,-34.6031,-58.3725
460,133,BEIRO Y SEGUROLA,Segurola 3194,VILLA DEVOTO,COMUNA 11,CALZADA,16.0,1,-34.6075,-58.5119
224,133,NICARAGUA,Nicaragua & Bonpland,PALERMO,COMUNA 14,CALZADA,20.0,3,-34.5809,-58.4345
506,134,DON BOSCO,3490 Don Bosco & Liniers Virrey,ALMAGRO,COMUNA 5,CALZADA,20.0,3,-34.6119,-58.4153
134,134,SOLDADO DE LA FRONTERA,4999 Soldado de la Frontera,VILLA LUGANO,COMUNA 8,PLAZOLETA,12.0,1,-34.6832,-58.4660
135,135,MARCELO T. DE ALVEAR,902 Esmeralda & Paraguay,SAN NICOLAS,COMUNA 1,VEREDA,20.0,1,-34.5975,-58.3784
213,136,ACEVEDO,220 Acevedo,VILLA CRESPO,COMUNA 15,CALZADA,20.0,1,-34.5998,-58.4428
137,137,AZOPARDO Y CHILE,700 Azopardo & Chile Av.,MONSERRAT,COMUNA 1,CALZADA,24.0,1,-34.6157,-58.3676
138,138,HOSPITAL BRITANICO,153 Perdriel,BARRACAS,COMUNA 4,CALZADA,12.0,1,-34.6354,-58.3876
226,139,VIRREY LINIERS,3408 Salcedo & Liniers Virrey,BOEDO,COMUNA 5,CALZADA,20.0,0,-34.6334,-58.4132
219,140,LAS CASAS,Metán 3656 EX 3587 Las Casas,BOEDO,COMUNA 5,CALZADA,16.0,1,-34.6359,-58.4157
141,141,SOLIS Y ALSINA,"225 Solis & Alsina, Adolfo",MONSERRAT,COMUNA 1,CALZADA,20.0,0,-34.6118,-58.3904
