Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17298978BAEcobici,066  -  BILLINGHURST,038  -  PLAZA LIBERTAD,1414,-34.5947,-58.4139,-34.5971,-58.3827,2.868274741733757
17113588BAEcobici,275  -  PLAZA 24 DE SEPTIEMBRE,354  -  JOSE MARTI,2021,-34.6071,-58.4485,-34.6438,-58.463,4.291113341005865
17209720BAEcobici,092  -  SALCEDO,199  -  ESTADOS UNIDOS Y BOEDO,1382,-34.6318,-58.4049,-34.6224,-58.4158,1.4447109113380892
17189332BAEcobici,384  -  PLAZA BENITO NAZAR,190  -  JUNCAL,1304,-34.6048,-58.4463,-34.5852,-58.411,3.897464249901323
17307559BAEcobici,101  -  FITZ ROY,182  -  RAVIGNANI Y GUATEMALA,582,-34.5891,-58.4423,-34.5781,-58.4351,1.3894394171017626
17114279BAEcobici,224  -  BAIGORRIA,224  -  BAIGORRIA,83,-34.6106,-58.5029,-34.6106,-58.5029,0.0
17371492BAEcobici,172  -  BRASIL,172  -  BRASIL,3466,-34.6254,-58.3711,-34.6254,-58.3711,0.0
17101810BAEcobici,196  -  HOSPITAL ARGERICH,128  -  PARQUE DEL BAJO,990,-34.6278,-58.3661,-34.6052,-58.368,2.5190130096634795
17099832BAEcobici,388  -  PLAZA JOSE C PAZ,155  -  PARQUE JOSE EVARISTO URIBURU,383,-34.64503,-58.40973,-34.6381,-58.4112,0.7822273397324796
17232710BAEcobici,242  -  PLAZOLETA RAFAEL DEL RIEGO,080  -  VALLE,2673,-34.5674,-58.4464,-34.6244,-58.4342,6.435734308495786
17159748BAEcobici,156  -  PLAZA ALEMANIA,050  -  HOSPITAL RIVADAVIA,357,-34.5778,-58.4073,-34.5836,-58.4012,0.853115715406258
17350617BAEcobici,205  -  SAN MARTIN,082  -  HOSPITAL ITALIANO,1064,-34.6057,-58.4532,-34.6074,-58.4262,2.4782966358161276
17250896BAEcobici,041  -  PARQUE PATRICIOS II,345  -  PLAZA MAFALDA,2329,-34.6374,-58.4057,-34.5809,-58.4446,7.2210849788571565
17343124BAEcobici,015  -  AMENABAR,145  -  RAVIGNANI,480,-34.5719,-58.4475,-34.5803,-58.4378,1.288843175008996
17293799BAEcobici,058  -  MINISTRO CARRANZA,033  -  FACULTAD DE MEDICINA,954,-34.5749,-58.4353,-34.5972,-58.3988,4.160925130143278
17368373BAEcobici,057  -  BELGRANO,137  -  AZOPARDO Y CHILE,367,-34.6134,-58.3707,-34.6157,-58.3676,0.3819510505207141
17145050BAEcobici,391  -  PLAZA REPUBLICA DE ECUADOR,005  -  PLAZA ITALIA,3392,-34.56553,-58.41986,-34.5808,-58.4204,1.6986662033546442
17338599BAEcobici,257  -  PLAZA FRANCISCO RAMIREZ,399  -  GARCIA DEL RIO,1637,-34.5531,-58.4689,-34.55024,-58.4771,0.8155319783165764
17289078BAEcobici,001  -  FACULTAD DE DERECHO,189  -  POSADAS,397,-34.5842,-58.3905,-34.5885,-58.3855,0.6619078634115432
