Id_recorrido,nombre_estacion_origen,hora_origen
17646606BAEcobici,172 - BRASIL,0
17584611BAEcobici,006 - Parque Lezama,14
17658207BAEcobici,261 - QUINTEROS LIDORO,20
17532356BAEcobici,089 - Cabello,6
17508092BAEcobici,174 - MINISTERIO DE EDUCACION,2
17553750BAEcobici,025 - Plaza Guemes,19
17572573BAEcobici,111 - MACACHA GUEMES,16
17667677BAEcobici,023 - Suipacha,15
17460508BAEcobici,117 - HUMBERTO 1°,21
17672584BAEcobici,056 - Plaza Palermo Viejo,0
17640854BAEcobici,146 - Hospital Francés,16
17551311BAEcobici,086 - SAAVEDRA,16
17674483BAEcobici,262 - Holmberg,8
17545755BAEcobici,183 - VIRREY CEVALLOS,7
17524783BAEcobici,091 - Pasco,13
17675855BAEcobici,023 - Suipacha,10
17686387BAEcobici,029 - Parque Centenario,6
17677432BAEcobici,008 - Congreso,12
17602198BAEcobici,015 - AMENABAR,19
17643068BAEcobici,070 - ARAOZ,18
17692994BAEcobici,065 - Julián Álvarez,16
17578183BAEcobici,360 - Plaza Ramon Falcon,23
17665297BAEcobici,289 - MONTAÑESES,12
17624854BAEcobici,384 - PLAZA BENITO NAZAR,15
17509879BAEcobici,205 - SAN MARTIN,8
17398271BAEcobici,075 - Plaza Primero de Mayo,19
17696173BAEcobici,002 - Retiro I,19
17684562BAEcobici,280 - JURAMENTO,21
17466342BAEcobici,083 - Paraná,12
17684337BAEcobici,018 - Independencia,21
17435881BAEcobici,124 - UGARTECHE,1
17586962BAEcobici,010 - Madero UCA,17
17638804BAEcobici,150 - RODRIGO BUENO,14
17554642BAEcobici,183 - VIRREY CEVALLOS,20
17445305BAEcobici,396 - PLAZA ALBERTI,18
17488338BAEcobici,014 - Pacifico,12
17489784BAEcobici,030 - Peña,18
17499466BAEcobici,223 - GAINZA,11
17591989BAEcobici,030 - Peña,2
17462662BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,6
17439146BAEcobici,156 - Plaza Alemania,10
17409025BAEcobici,140 - Las Casas,17
17652682BAEcobici,104 - Federico Lacroze,14
17494521BAEcobici,255 - BARRANCAS DE BELGRANO,20
17596795BAEcobici,093 - CARLOS CALVO,13
17487294BAEcobici,183 - VIRREY CEVALLOS,6
17416641BAEcobici,056 - Plaza Palermo Viejo,20
17662495BAEcobici,030 - Peña,8
17669160BAEcobici,316 - Buenos Aires,17
17511321BAEcobici,045 - Uruguay,10
17510495BAEcobici,083 - Paraná,9
17432288BAEcobici,005 - Plaza Italia,18
17479482BAEcobici,091 - Pasco,12
17382220BAEcobici,288 - SECRETARÍA DE DEPORTES,14
17648965BAEcobici,120 - HOSPITAL RAMOS MEJIA,8
17618003BAEcobici,156 - Plaza Alemania,5
17690809BAEcobici,255 - BARRANCAS DE BELGRANO,13
17546919BAEcobici,259 - PLAZA CASTELLI,9
17592986BAEcobici,396 - PLAZA ALBERTI,7
17461512BAEcobici,006 - Parque Lezama,0
17516528BAEcobici,114 - DELLA PAOLERA,18
17667412BAEcobici,007 - OBELISCO,15
17624976BAEcobici,276 - PRIMERA JUNTA,15
17658134BAEcobici,111 - MACACHA GUEMES,19
17426781BAEcobici,174 - MINISTERIO DE EDUCACION,11
17675414BAEcobici,172 - BRASIL,9
17424825BAEcobici,063 - Reconquista,8
17458543BAEcobici,200 - AUSTRIA Y FRENCH,19
17400624BAEcobici,060 - 25 De Mayo,23
17553197BAEcobici,065 - Julián Álvarez,18
17655446BAEcobici,160 - Godoy Cruz y Libertador,17
17533813BAEcobici,093 - CARLOS CALVO,8
17522258BAEcobici,260 - SAN MIGUEL DE GARICOITS,8
17376403BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,1
17582966BAEcobici,009 - Parque Las Heras,12
17411781BAEcobici,065 - Julián Álvarez,21
17675939BAEcobici,082 - HOSPITAL ITALIANO,10
17606871BAEcobici,187 - Jose Maria Moreno,8
17527511BAEcobici,327 - PLAZA RICCHERI,17
17442869BAEcobici,151 - AIME PAINÉ,16
17609092BAEcobici,347 - CARABOBO,12
17632902BAEcobici,113 - Guatemala,0
17547645BAEcobici,148 -La Paternal,10
17620391BAEcobici,239 - AVENIDA CRAMER,15
17468814BAEcobici,258 - Plaza J.J. Paso,16
17553667BAEcobici,169 - FACULTAD DE PSICOLOGIA,19
17517593BAEcobici,039 - Plaza Don Bosco,19
17415709BAEcobici,181 - BILLINGHURST Y MANSILLA,16
17410437BAEcobici,117 - HUMBERTO 1°,19
17511593BAEcobici,075 - Plaza Primero de Mayo,11
17484738BAEcobici,023 - Suipacha,20
17669586BAEcobici,076 - Ayacucho,17
17454170BAEcobici,063 - Reconquista,13
17473392BAEcobici,171 - Pasteur,21
17622347BAEcobici,391 - Plaza República de Ecuador,21
17515869BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,17
17621895BAEcobici,261 - QUINTEROS LIDORO,19
17381327BAEcobici,251 - Solar de la Abadía,13
17686535BAEcobici,370 - Beauchef,6
17673836BAEcobici,186 - MANZANA 66,7
17542896BAEcobici,069 - Ecuador,21
17604258BAEcobici,292 - PLAZA BOLIVIA,23
17398759BAEcobici,041 - PARQUE PATRICIOS II,19
17660745BAEcobici,085 - AGUERO,1
17691338BAEcobici,022 - Arenales,14
17529789BAEcobici,036 - MAIPÚ,20
17611344BAEcobici,086 - SAAVEDRA,15
17552804BAEcobici,135 - MARCELO T. DE ALVEAR,18
17679626BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,16
17469450BAEcobici,038 - Plaza Libertad,17
17563721BAEcobici,177 -PLANETARIO,14
17405728BAEcobici,159 - Fitz Roy & Gorriti,12
17621901BAEcobici,160 - Godoy Cruz y Libertador,19
17536734BAEcobici,152 - JULIETA LANTERI,14
17601344BAEcobici,136 - Acevedo,18
17475007BAEcobici,065 - Julián Álvarez,0
17530049BAEcobici,325 - MEDRANO,20
17565206BAEcobici,066 - Billinghurst,19
17616943BAEcobici,289 - MONTAÑESES,23
17551574BAEcobici,071 - CERRITO,16
17691426BAEcobici,147 - Constitución,14
17656407BAEcobici,255 - BARRANCAS DE BELGRANO,18
17432199BAEcobici,128 - PARQUE DEL BAJO,18
17590472BAEcobici,346 - Plaza Zapiola,21
17496557BAEcobici,187 - Jose Maria Moreno,6
17380854BAEcobici,182 - RAVIGNANI Y GUATEMALA,12
17558828BAEcobici,130 - RETIRO II,14
17389638BAEcobici,219 - Parque Chacabuco II,3
17571262BAEcobici,026 - JUANA MANSO I,14
17402434BAEcobici,171 - Pasteur,7
17468339BAEcobici,103 - MALBA,15
17381661BAEcobici,215 - HOSPITAL ALVAREZ,13
17696623BAEcobici,227 -Club Ciudad de Buenos Aires,20
17456871BAEcobici,073 - Ruy Díaz de Guzmán,17
17634522BAEcobici,364 - CERRETTI Y MANUELA PEDRAZA,7
17664876BAEcobici,391 - Plaza República de Ecuador,11
17510724BAEcobici,024 - ALSINA,9
17693579BAEcobici,156 - Plaza Alemania,17
17666632BAEcobici,371 - Paseo de las Americas,14
17462605BAEcobici,051 - TUCUMAN,6
17581172BAEcobici,079 - AZUCENA VILLAFLOR,9
17684025BAEcobici,013 - ONCE,20
17473008BAEcobici,140 - Las Casas,20
17695553BAEcobici,144 - PUEYRREDÓN,19
17657114BAEcobici,111 - MACACHA GUEMES,18
17648525BAEcobici,018 - Independencia,8
17524657BAEcobici,073 - Ruy Díaz de Guzmán,12
17609351BAEcobici,029 - Parque Centenario,12
17517404BAEcobici,168 - Estados Unidos,19
17491575BAEcobici,032 - Catedral,3
17398289BAEcobici,333 - PARQUE DE LA ESTACIÓN,19
17521824BAEcobici,017 - Plaza Almagro,8
17408346BAEcobici,248 - Husares,16
17578988BAEcobici,085 - AGUERO,5
17518891BAEcobici,314 - ALLENDE,21
17493717BAEcobici,164 - FACULTAD DE INGENIERIA,17
17535930BAEcobici,281 - Villa Urquiza,12
17408659BAEcobici,152 - JULIETA LANTERI,17
17397975BAEcobici,010 - Madero UCA,18
17614844BAEcobici,129 - Velasco,19
17440390BAEcobici,066 - Billinghurst,12
17532167BAEcobici,001 - FACULTAD DE DERECHO,5
17591279BAEcobici,383 - BOEDO Y VENEZUELA,23
17579503BAEcobici,181 - BILLINGHURST Y MANSILLA,7
17626376BAEcobici,181 - BILLINGHURST Y MANSILLA,18
17471411BAEcobici,264 - Plaza Marcos Sastre,18
17640988BAEcobici,393 - Barrio 31,17
17529099BAEcobici,350 - Plaza Irlanda,19
17573230BAEcobici,061 - Ministerio de Economia,16
17541086BAEcobici,063 - Reconquista,19
17675783BAEcobici,233 - MONROE,10
17390277BAEcobici,302 - ESTACION VILLA LURO,6
17396837BAEcobici,014 - Pacifico,17
17616856BAEcobici,122 - COSTA RICA,23
17455882BAEcobici,186 - MANZANA 66,16
17405732BAEcobici,085 - AGUERO,12
17422372BAEcobici,285 - ESPINOSA,21
17695865BAEcobici,156 - Plaza Alemania,19
17378448BAEcobici,232 - Sucre y Martinez,8
17521328BAEcobici,367 - Eva Perón,7
17458337BAEcobici,146 - Hospital Francés,18
17640543BAEcobici,137 - AZOPARDO Y CHILE,16
17565045BAEcobici,079 - AZUCENA VILLAFLOR,18
17453478BAEcobici,015 - AMENABAR,12
17534569BAEcobici,279 - PLAZA MONTE CASTRO,10
17530065BAEcobici,247 - PLAZA LUCIO DEMARE,20
17695135BAEcobici,188 - Aranguren,18
17423719BAEcobici,144 - PUEYRREDÓN,5
17417486BAEcobici,067 - PARQUE SARMIENTO I,0
17669679BAEcobici,153 - JUAN MANUEL DE BLANES,18
17568475BAEcobici,061 - Ministerio de Economia,9
17660661BAEcobici,065 - Julián Álvarez,1
17503764BAEcobici,013 - ONCE,18
17675279BAEcobici,136 - Acevedo,9
17378558BAEcobici,015 - AMENABAR,8
17596215BAEcobici,151 - AIME PAINÉ,12
17619695BAEcobici,030 - Peña,13
17685241BAEcobici,166 - Cementerio de Recoleta,23
17411737BAEcobici,086 - SAAVEDRA,21
17445507BAEcobici,190 - JUNCAL,18
17690404BAEcobici,353 - PLAZA VÉLEZ SARSFIELD,13
17635933BAEcobici,371 - Paseo de las Americas,9
17523267BAEcobici,066 - Billinghurst,10
17598688BAEcobici,378 - AGRONOMIA,16
17527611BAEcobici,004 - Plaza Roma,17
17386515BAEcobici,350 - Plaza Irlanda,19
17481261BAEcobici,174 - MINISTERIO DE EDUCACION,16
17516711BAEcobici,147 - Constitución,18
17485032BAEcobici,181 - BILLINGHURST Y MANSILLA,20
17453119BAEcobici,015 - AMENABAR,11
17454199BAEcobici,014 - Pacifico,13
17566331BAEcobici,379 - PARQUE SARMIENTO II,0
17621387BAEcobici,125 - F.J.Santamaria de Oro,18
17609808BAEcobici,008 - Congreso,13
17565680BAEcobici,227 -Club Ciudad de Buenos Aires,20
17599333BAEcobici,187 - Jose Maria Moreno,16
17521411BAEcobici,147 - Constitución,7
17571010BAEcobici,016 - Legislatura,13
17642157BAEcobici,079 - AZUCENA VILLAFLOR,17
17662461BAEcobici,169 - FACULTAD DE PSICOLOGIA,8
17501593BAEcobici,118 - MEXICO,15
17406910BAEcobici,264 - Plaza Marcos Sastre,14
17518798BAEcobici,272 - Plaza Bruno Giordano,21
17376203BAEcobici,112 - 9 de Julio,1
17460182BAEcobici,173 - EL LIBERTADOR,21
17390149BAEcobici,056 - Plaza Palermo Viejo,6
17667112BAEcobici,215 - HOSPITAL ALVAREZ,15
17543871BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,0
17389700BAEcobici,158 - VILLARROEL,3
17421618BAEcobici,178 - José Marmol,19
17505171BAEcobici,166 - Cementerio de Recoleta,19
17478780BAEcobici,035 - INGENIERO BUTTY,11
17535053BAEcobici,113 - Guatemala,11
17593279BAEcobici,131- HOSPITAL DE CLÍNICAS,8
17604922BAEcobici,066 - Billinghurst,1
17493578BAEcobici,197 - PLAZA CIUDAD DE UDINE,17
17468112BAEcobici,128 - PARQUE DEL BAJO,15
17413468BAEcobici,054 - Acuña de Figueroa,4
17647867BAEcobici,297 - TRONADOR Y GARCÍA DEL RÍO,7
17413523BAEcobici,234 - AVENIDA TRIUNVIRATO,5
17505226BAEcobici,255 - BARRANCAS DE BELGRANO,19
17615787BAEcobici,156 - Plaza Alemania,20
17534152BAEcobici,100 - Plaza Gurruchaga,9
17686766BAEcobici,147 - Constitución,7
17582051BAEcobici,183 - VIRREY CEVALLOS,10
17509962BAEcobici,022 - Arenales,8
17483627BAEcobici,367 - Eva Perón,18
17612312BAEcobici,200 - AUSTRIA Y FRENCH,16
17637396BAEcobici,149 - LIMA,12
17573691BAEcobici,100 - Plaza Gurruchaga,17
17528032BAEcobici,070 - ARAOZ,18
17465544BAEcobici,074 - INSTITUTO LELOIR,11
17402950BAEcobici,188 - Aranguren,7
17593036BAEcobici,174 - MINISTERIO DE EDUCACION,7
17477695BAEcobici,365 - Venancio Flores,9
17481542BAEcobici,030 - Peña,16
17475600BAEcobici,396 - PLAZA ALBERTI,3
17425220BAEcobici,032 - Catedral,8
17539943BAEcobici,288 - SECRETARÍA DE DEPORTES,18
17383627BAEcobici,186 - MANZANA 66,16
17544974BAEcobici,167 - Hipólito Yrigoyen,5
17387169BAEcobici,067 - PARQUE SARMIENTO I,20
17525609BAEcobici,086 - SAAVEDRA,15
17598988BAEcobici,251 - Solar de la Abadía,16
17512232BAEcobici,091 - Pasco,12
17426778BAEcobici,128 - PARQUE DEL BAJO,11
17530538BAEcobici,227 -Club Ciudad de Buenos Aires,21
17663630BAEcobici,128 - PARQUE DEL BAJO,9
17616934BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,23
17635457BAEcobici,348 - Villa del Parque,8
17543244BAEcobici,166 - Cementerio de Recoleta,22
17466909BAEcobici,147 - Constitución,13
17679709BAEcobici,316 - Buenos Aires,16
17557325BAEcobici,023 - Suipacha,8
17653763BAEcobici,128 - PARQUE DEL BAJO,15
17695348BAEcobici,336 - La Pampa,18
17435716BAEcobici,200 - AUSTRIA Y FRENCH,0
17499662BAEcobici,038 - Plaza Libertad,12
17511786BAEcobici,058 - Ministro Carranza,11
17660735BAEcobici,079 - AZUCENA VILLAFLOR,1
17610054BAEcobici,256 - PLAZA NORUEGA,13
17495519BAEcobici,381 - Matienzo Y Arce,0
17651771BAEcobici,131- HOSPITAL DE CLÍNICAS,13
17424906BAEcobici,364 - CERRETTI Y MANUELA PEDRAZA,8
17392498BAEcobici,130 - RETIRO II,10
17410563BAEcobici,076 - Ayacucho,19
17651883BAEcobici,002 - Retiro I,13
17446971BAEcobici,075 - Plaza Primero de Mayo,20
17682266BAEcobici,127 - PLAZA LEONARDO N. ALEM,18
17546353BAEcobici,016 - Legislatura,8
17683525BAEcobici,076 - Ayacucho,20
17695935BAEcobici,059 - Coronel Diaz,19
17485174BAEcobici,384 - PLAZA BENITO NAZAR,21
17686672BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,7
17602447BAEcobici,227 -Club Ciudad de Buenos Aires,19
17667889BAEcobici,333 - PARQUE DE LA ESTACIÓN,16
17407453BAEcobici,153 - JUAN MANUEL DE BLANES,15
17447374BAEcobici,182 - RAVIGNANI Y GUATEMALA,21
17564420BAEcobici,085 - AGUERO,16
17622143BAEcobici,057 - BELGRANO,20
17445933BAEcobici,276 - PRIMERA JUNTA,19
17492043BAEcobici,145 - RAVIGNANI,8
17390289BAEcobici,147 - Constitución,6
17621939BAEcobici,006 - Parque Lezama,19
17458260BAEcobici,254 - Plaza Rafael Hernandez,18
17415512BAEcobici,190 - JUNCAL,16
17504857BAEcobici,255 - BARRANCAS DE BELGRANO,19
17467572BAEcobici,248 - Husares,14
17600958BAEcobici,298 - PLAZA DR. JUAN B. TERAN,18
17540245BAEcobici,394 - Av. La Plata,18
17459260BAEcobici,281 - Villa Urquiza,19
17633885BAEcobici,254 - Plaza Rafael Hernandez,6
17384486BAEcobici,172 - BRASIL,17
17388819BAEcobici,152 - JULIETA LANTERI,23
17399994BAEcobici,073 - Ruy Díaz de Guzmán,21
17447375BAEcobici,297 - TRONADOR Y GARCÍA DEL RÍO,21
17593615BAEcobici,168 - Estados Unidos,8
17441455BAEcobici,060 - 25 De Mayo,13
17507713BAEcobici,159 - Fitz Roy & Gorriti,0
17607865BAEcobici,022 - Arenales,10
