Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17608838BAEcobici,182  -  RAVIGNANI Y GUATEMALA,054  -  ACUNA DE FIGUEROA,954,-34.5781,-58.4351,-34.5982,-58.4219,2.540750789078403
17382344BAEcobici,280  -  JURAMENTO,256  -  PLAZA NORUEGA,1240,-34.579,-58.4841,-34.5622,-58.4594,2.933315394298498
17486611BAEcobici,383  -  BOEDO Y VENEZUELA,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,786,-34.6171,-58.4169,-34.597,-58.4076,2.3916000917471156
17534059BAEcobici,199  -  ESTADOS UNIDOS Y BOEDO,138  -  HOSPITAL BRITANICO,1550,-34.6224,-58.4158,-34.6354,-58.3876,2.957539600795159
17619687BAEcobici,128  -  PARQUE DEL BAJO,164  -  FACULTAD DE INGENIERIA,1684,-34.6052,-58.368,-34.6173,-58.3669,1.3492193613494792
17439837BAEcobici,243  -  PLAZOLETA CELEDONIO FLORES,345  -  PLAZA MAFALDA,393,-34.5817,-58.4516,-34.5809,-58.4446,0.6469888905194113
17631698BAEcobici,301  -  ARREGUI Y TERRADA,302  -  ESTACION VILLA LURO,3235,-34.6049,-58.4848,-34.637,-58.5014,3.879129357910806
17516295BAEcobici,104  -  FEDERICO LACROZE,017  -  PLAZA ALMAGRO,1304,-34.5876,-58.4551,-34.6064,-58.4185,3.9487964028368183
17539147BAEcobici,183  -  VIRREY CEVALLOS,169  -  FACULTAD DE PSICOLOGIA,831,-34.6156,-58.3897,-34.6118,-58.4117,2.057159295742528
17414383BAEcobici,270  -  PLAZA DEL ANGEL GRIS,352  -  SAN JOSE DE FLORES,342,-34.6218,-58.4577,-34.6289,-58.4627,0.9124659685159379
17654379BAEcobici,097  -  AVELINO DIAZ,146  -  HOSPITAL FRANCES,756,-34.6353,-58.4275,-34.6222,-58.4077,2.324623303514161
17400561BAEcobici,009  -  PARQUE LAS HERAS,160  -  GODOY CRUZ Y LIBERTADOR,1054,-34.5855,-58.4077,-34.5728,-58.4207,1.8468202653625243
17567690BAEcobici,220  -  PLAZA FELIX LIMA,253  -  PLAZA COLEGIALES,2295,-34.5418,-58.4704,-34.5784,-58.4453,4.6739388484402555
17493922BAEcobici,156  -  PLAZA ALEMANIA,248  -  HUSARES,2307,-34.5778,-58.4073,-34.5524,-58.443,4.32006335283955
17531396BAEcobici,015  -  AMENABAR,399  -  GARCIA DEL RIO,1060,-34.5719,-58.4475,-34.55024,-58.4771,3.6259729676692967
17657428BAEcobici,147  -  CONSTITUCION,010  -  MADERO UCA,778,-34.6261,-58.3793,-34.617,-58.3658,1.5968382507863585
17460906BAEcobici,347  -  CARABOBO,187  -  JOSE MARIA MORENO,391,-34.626,-58.4553,-34.6202,-58.4356,1.914508761343043
17386280BAEcobici,044  -  ECOPARQUE,160  -  GODOY CRUZ Y LIBERTADOR,203,-34.5758,-58.4143,-34.5728,-58.4207,0.6742646430835484
17622154BAEcobici,054  -  ACUNA DE FIGUEROA,260  -  SAN MIGUEL DE GARICOITS,1332,-34.5982,-58.4219,-34.5772,-58.4576,4.016570779091034
17642439BAEcobici,171  -  PASTEUR,374  -  PUAN,1606,-34.603,-58.3996,-34.6221,-58.4484,4.945206343763355
17579871BAEcobici,116  -  HOSPITAL ALEMAN,174  -  MINISTERIO DE EDUCACION,484,-34.5921,-58.4028,-34.5972,-58.3918,1.1555958238467032
17614042BAEcobici,025  -  PLAZA GUEMES,085  -  AGUERO,357,-34.5898,-58.4166,-34.5945,-58.4089,0.8774522585512976
17498070BAEcobici,249  -  BALBIN,254  -  PLAZA RAFAEL HERNANDEZ,452,-34.5614,-58.4657,-34.5625,-58.4552,0.969239039790489
17395341BAEcobici,200  -  AUSTRIA Y FRENCH,033  -  FACULTAD DE MEDICINA,455,-34.5883,-58.4043,-34.5972,-58.3988,1.110333379578019
17554724BAEcobici,001  -  FACULTAD DE DERECHO,065  -  JULIAN ALVAREZ,1553,-34.5842,-58.3905,-34.5873,-58.416,2.3596923655390754
17527413BAEcobici,007  -  OBELISCO,147  -  CONSTITUCION,1209,-34.6058,-58.3807,-34.6261,-58.3793,2.2608898184337867
17691225BAEcobici,203  -  BEIRO,207  -  PLAZA ARENALES,301,-34.6007,-58.5034,-34.6001,-58.5117,0.7626076044613395
17547992BAEcobici,152  -  JULIETA LANTERI,032  -  CATEDRAL,1416,-34.6181,-58.36,-34.6072,-58.3735,1.7307035876367072
17604060BAEcobici,335  -  GENERAL URQUIZA,008  -  CONGRESO,5010,-34.5713,-58.4119,-34.6101,-58.3891,4.792666762486004
17515503BAEcobici,174  -  MINISTERIO DE EDUCACION,066  -  BILLINGHURST,902,-34.5972,-58.3918,-34.5947,-58.4139,2.041891809189955
17596255BAEcobici,146  -  HOSPITAL FRANCES,083  -  PARANA,1193,-34.6222,-58.4077,-34.6031,-58.3893,2.7103580734617703
17477454BAEcobici,006  -  PARQUE LEZAMA,026  -  JUANA MANSO I,1088,-34.6282,-58.3694,-34.6009,-58.3638,3.0785749390412276
17559313BAEcobici,333  -  PARQUE DE LA ESTACION,070  -  ARAOZ,1396,-34.608,-58.4118,-34.5927,-58.4258,2.1298672310880167
17552391BAEcobici,009  -  PARQUE LAS HERAS,272  -  PLAZA BRUNO GIORDANO,1392,-34.5855,-58.4077,-34.6159,-58.4407,4.533158535554172
17684014BAEcobici,008  -  CONGRESO,083  -  PARANA,268,-34.6101,-58.3891,-34.6031,-58.3893,0.7785796811508374
17655198BAEcobici,097  -  AVELINO DIAZ,049  -  33 ORIENTALES,437,-34.6353,-58.4275,-34.6288,-58.4223,0.8653001956757653
17472882BAEcobici,105  -  PARQUE SAAVEDRA,396  -  PLAZA ALBERTI,918,-34.5521,-58.4805,-34.55571,-58.45789,2.109159921642633
17379568BAEcobici,071  -  CERRITO,061  -  MINISTERIO DE ECONOMIA,423,-34.6026,-58.3838,-34.6088,-58.3707,1.3830208097803278
17580841BAEcobici,262  -  HOLMBERG,239  -  AVENIDA CRAMER,472,-34.5667,-58.4791,-34.558,-58.4673,1.4503077957498431
17425160BAEcobici,289  -  MONTANESES,289  -  MONTANESES,238,-34.5514,-58.4541,-34.5514,-58.4541,0.0
17532329BAEcobici,032  -  CATEDRAL,003  -  ADUANA,305,-34.6072,-58.3735,-34.6112,-58.3696,0.5702826181015401
17446228BAEcobici,347  -  CARABOBO,219  -  PARQUE CHACABUCO II,542,-34.626,-58.4553,-34.6363,-58.4439,1.5490805668710446
17624643BAEcobici,079  -  AZUCENA VILLAFLOR,255  -  BARRANCAS DE BELGRANO,4200,-34.612,-58.3639,-34.5599,-58.4482,9.649685672576178
17426986BAEcobici,120  -  HOSPITAL RAMOS MEJIA,086  -  SAAVEDRA,485,-34.6175,-58.4092,-34.6213,-58.4018,0.7981711979170968
17503917BAEcobici,035  -  INGENIERO BUTTY,026  -  JUANA MANSO I,396,-34.5962,-58.3718,-34.6009,-58.3638,0.8996139403775812
17693734BAEcobici,106  -  MOSCONI Y CONSTITUYENTES,062  -  PARQUE ONEGA,930,-34.5809,-58.4936,-34.5932,-58.5138,2.300002283344534
17444081BAEcobici,025  -  PLAZA GUEMES,064  -  RIOBAMBA,1934,-34.5898,-58.4166,-34.594,-58.3945,2.076186570809385
17378881BAEcobici,030  -  PENA,255  -  BARRANCAS DE BELGRANO,1411,-34.5906,-58.3974,-34.5599,-58.4482,5.769348966273744
17497298BAEcobici,137  -  AZOPARDO Y CHILE,244  -  UADE,884,-34.6157,-58.3676,-34.6171,-58.3815,1.2814866912990832
17471784BAEcobici,253  -  PLAZA COLEGIALES,161  -  HUMAHUACA,1581,-34.5784,-58.4453,-34.6021,-58.4195,3.538729517581469
17684480BAEcobici,128  -  PARQUE DEL BAJO,135  -  MARCELO T. DE ALVEAR,894,-34.6052,-58.368,-34.5975,-58.3784,1.2802964819527578
17637253BAEcobici,127  -  PLAZA LEONARDO N. ALEM,281  -  VILLA URQUIZA,732,-34.5763,-58.5025,-34.5736,-58.4873,1.4236701585327338
17465344BAEcobici,285  -  ESPINOSA,136  -  ACEVEDO,618,-34.604,-58.4572,-34.5998,-58.4428,1.3982781312521428
17610116BAEcobici,098  -  BENITO JUAREZ,133  -  BEIRO Y SEGUROLA,604,-34.619,-58.5047,-34.6075,-58.5119,1.4385167121393134
17616498BAEcobici,069  -  ECUADOR,025  -  PLAZA GUEMES,407,-34.5958,-58.4046,-34.5898,-58.4166,1.2851777451199404
17680566BAEcobici,059  -  CORONEL DIAZ,089  -  CABELLO,526,-34.5902,-58.4116,-34.5825,-58.4054,1.0272372201068107
17377048BAEcobici,120  -  HOSPITAL RAMOS MEJIA,163  -  ONCE II,390,-34.6175,-58.4092,-34.6088,-58.4061,1.0081353399982365
17634240BAEcobici,147  -  CONSTITUCION,172  -  BRASIL,288,-34.6261,-58.3793,-34.6254,-58.3711,0.7543282342009215
17481992BAEcobici,281  -  VILLA URQUIZA,127  -  PLAZA LEONARDO N. ALEM,607,-34.5736,-58.4873,-34.5763,-58.5025,1.4236701585327338
17578399BAEcobici,084  -  TEATRO PICADERO,031  -  PADILLA,1029,-34.6042,-58.3937,-34.6031,-58.4397,4.21190636788666
17650732BAEcobici,295  -  SUPERI,260  -  SAN MIGUEL DE GARICOITS,949,-34.5554,-58.4767,-34.5772,-58.4576,2.989094234920487
17435722BAEcobici,012  -  PLAZA VICENTE LOPEZ,333  -  PARQUE DE LA ESTACION,1357,-34.5928,-58.3888,-34.608,-58.4118,2.6996844298664513
17690363BAEcobici,219  -  PARQUE CHACABUCO II,041  -  PARQUE PATRICIOS II,1706,-34.6363,-58.4439,-34.6374,-58.4057,3.496979795533075
17534249BAEcobici,223  -  GAINZA,223  -  GAINZA,3859,-34.6168,-58.4467,-34.6168,-58.4467,0.0
17497384BAEcobici,200  -  AUSTRIA Y FRENCH,130  -  RETIRO II,1170,-34.5883,-58.4043,-34.5927,-58.375,2.7263534405572103
17449065BAEcobici,121  -  YATAY,087  -  GUAYAQUIL,892,-34.6008,-58.4283,-34.6198,-58.4313,2.130468297389486
17396656BAEcobici,089  -  CABELLO,001  -  FACULTAD DE DERECHO,692,-34.5825,-58.4054,-34.5842,-58.3905,1.377085092830986
17598999BAEcobici,345  -  PLAZA MAFALDA,292  -  PLAZA BOLIVIA,904,-34.5809,-58.4446,-34.5635,-58.4367,2.0655768263614123
17451872BAEcobici,328  -  SARMIENTO II,032  -  CATEDRAL,840,-34.6058,-58.3958,-34.6072,-58.3735,2.0468561671884755
17694796BAEcobici,360  -  PLAZA RAMON FALCON,330  -  PARQUE AVELLANEDA,406,-34.6354,-58.4827,-34.6423,-58.4783,0.8664301299815318
17404740BAEcobici,267  -  PLAZA 25 DE AGOSTO,378  -  AGRONOMIA,1398,-34.5797,-58.4618,-34.5983,-58.4819,2.76821970558606
17644759BAEcobici,075  -  PLAZA PRIMERO DE MAYO,093  -  CARLOS CALVO,542,-34.6123,-58.3989,-34.6207,-58.3944,1.0207852083079012
17377903BAEcobici,260  -  SAN MIGUEL DE GARICOITS,225  -  HOSPITAL TORNU,655,-34.5772,-58.4576,-34.5876,-58.474,1.8951217496414792
17463503BAEcobici,167  -  HIPOLITO YRIGOYEN,190  -  JUNCAL,1362,-34.615,-58.4273,-34.5852,-58.411,3.633980076443782
17682896BAEcobici,161  -  HUMAHUACA,144  -  PUEYRREDON,498,-34.6021,-58.4195,-34.6021,-58.4061,1.2264520680860915
17443300BAEcobici,279  -  PLAZA MONTE CASTRO,207  -  PLAZA ARENALES,652,-34.6181,-58.4985,-34.6001,-58.5117,2.3378215542422915
17466366BAEcobici,282  -  TRONADOR,215  -  HOSPITAL ALVAREZ,1572,-34.5841,-58.4663,-34.6231,-58.4684,4.340859316366491
17516098BAEcobici,156  -  PLAZA ALEMANIA,059  -  CORONEL DIAZ,491,-34.5778,-58.4073,-34.5902,-58.4116,1.4339093040106303
17492739BAEcobici,054  -  ACUNA DE FIGUEROA,009  -  PARQUE LAS HERAS,747,-34.5982,-58.4219,-34.5855,-58.4077,1.919324589572103
17580492BAEcobici,010  -  MADERO UCA,004  -  PLAZA ROMA,449,-34.617,-58.3658,-34.6018,-58.3691,1.7169335189176809
17377226BAEcobici,292  -  PLAZA BOLIVIA,396  -  PLAZA ALBERTI,674,-34.5635,-58.4367,-34.55571,-58.45789,2.124994036754955
17417118BAEcobici,014  -  PACIFICO,391  -  PLAZA REPUBLICA DE ECUADOR,494,-34.5782,-58.4266,-34.56553,-58.41986,1.5380689400465992
17461836BAEcobici,288  -  SECRETARIA DE DEPORTES,396  -  PLAZA ALBERTI,689,-34.5472,-58.4564,-34.55571,-58.45789,0.9560571499818752
17476785BAEcobici,171  -  PASTEUR,147  -  CONSTITUCION,2192,-34.603,-58.3996,-34.6261,-58.3793,3.1699822231040544
17616294BAEcobici,058  -  MINISTRO CARRANZA,066  -  BILLINGHURST,5942,-34.5749,-58.4353,-34.5947,-58.4139,2.947076625962122
17657925BAEcobici,301  -  ARREGUI Y TERRADA,301  -  ARREGUI Y TERRADA,3422,-34.6049,-58.4848,-34.6049,-58.4848,0.0
17665765BAEcobici,084  -  TEATRO PICADERO,054  -  ACUNA DE FIGUEROA,1056,-34.6042,-58.3937,-34.5982,-58.4219,2.6659016838453886
17424999BAEcobici,208  -  NICASIO ORONO,205  -  SAN MARTIN,442,-34.5964,-58.4594,-34.6057,-58.4532,1.179581112423356
17426812BAEcobici,158  -  VILLARROEL,102  -  ROSETI,281,-34.5925,-58.4452,-34.5864,-58.446,0.6822308916673525
17660529BAEcobici,117  -  HUMBERTO 1°,167  -  HIPOLITO YRIGOYEN,2821,-34.6199,-58.3742,-34.615,-58.4273,4.889598443386569
17438390BAEcobici,069  -  ECUADOR,144  -  PUEYRREDON,372,-34.5958,-58.4046,-34.6021,-58.4061,0.7138552681538013
17690660BAEcobici,174  -  MINISTERIO DE EDUCACION,071  -  CERRITO,425,-34.5972,-58.3918,-34.6026,-58.3838,0.9469442938712437
17463721BAEcobici,272  -  PLAZA BRUNO GIORDANO,136  -  ACEVEDO,774,-34.6159,-58.4407,-34.5998,-58.4428,1.8005251877283772
17665361BAEcobici,120  -  HOSPITAL RAMOS MEJIA,361  -  PLAZA DON SEGUNDO SOMBRA,1943,-34.6175,-58.4092,-34.6419,-58.4507,4.666799134454224
17525817BAEcobici,113  -  GUATEMALA,258  -  PLAZA J.J. PASO,1161,-34.5857,-58.4251,-34.5691,-58.4538,3.2111233034176263
17688916BAEcobici,128  -  PARQUE DEL BAJO,118  -  MEXICO,1456,-34.6052,-58.368,-34.6168,-58.4027,3.427581112511393
17568715BAEcobici,061  -  MINISTERIO DE ECONOMIA,003  -  ADUANA,133,-34.6088,-58.3707,-34.6112,-58.3696,0.2852240313737718
17678317BAEcobici,028  -  PLAZA DE LA BANDERA,123  -  BASUALDO Y RODO,998,-34.6295,-58.4944,-34.6523,-58.4874,2.6148720853881273
17600217BAEcobici,251  -  SOLAR DE LA ABADIA,390  -  DE LOS OMBUES,460,-34.5675,-58.437,-34.56,-58.428,1.1724592983153728
17666834BAEcobici,091  -  PASCO,172  -  BRASIL,1566,-34.6174,-58.3976,-34.6254,-58.3711,2.5828996936285002
17663117BAEcobici,005  -  PLAZA ITALIA,253  -  PLAZA COLEGIALES,876,-34.5808,-58.4204,-34.5784,-58.4453,2.2951889938152705
17464791BAEcobici,027  -  MONTEVIDEO,036  -  MAIPU,654,-34.5994,-58.3897,-34.6046,-58.3766,1.3311354200070367
