Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17178699BAEcobici,135  -  MARCELO T. DE ALVEAR,030  -  PENA,759,-34.5975,-58.3784,-34.5906,-58.3974,1.9008864566101928
17102770BAEcobici,262  -  HOLMBERG,254  -  PLAZA RAFAEL HERNANDEZ,1023,-34.5667,-58.4791,-34.5625,-58.4552,2.237741369698089
17223142BAEcobici,265  -  PLAZA EXODO JUJENO,378  -  AGRONOMIA,478,-34.5826,-58.481,-34.5983,-58.4819,1.7477032113178934
17218644BAEcobici,298  -  PLAZA DR. JUAN B. TERAN,039  -  PLAZA DON BOSCO,463,-34.6216,-58.5198,-34.6265,-58.5081,1.2012478674975249
17120721BAEcobici,374  -  PUAN,365  -  VENANCIO FLORES,2767,-34.6221,-58.4484,-34.6294,-58.472,2.3069293568389604
17333061BAEcobici,174  -  MINISTERIO DE EDUCACION,316  -  BUENOS AIRES,2101,-34.5972,-58.3918,-34.6459,-58.3968,5.434486431485348
17233139BAEcobici,070  -  ARAOZ,129  -  VELASCO,381,-34.5927,-58.4258,-34.6002,-58.4349,1.1786819568000066
17357059BAEcobici,097  -  AVELINO DIAZ,370  -  BEAUCHEF,2397,-34.6353,-58.4275,-34.6401,-58.4304,0.5960405960132977
17263168BAEcobici,301  -  ARREGUI Y TERRADA,352  -  SAN JOSE DE FLORES,1133,-34.6049,-58.4848,-34.6289,-58.4627,3.348406227378769
17185413BAEcobici,074  -  INSTITUTO LELOIR,350  -  PLAZA IRLANDA,671,-34.6046,-58.4348,-34.6131,-58.4572,2.257412503364886
17211110BAEcobici,058  -  MINISTRO CARRANZA,002  -  RETIRO I,2410,-34.5749,-58.4353,-34.5927,-58.3751,5.855739141174519
17160017BAEcobici,309  -  UTN II,031  -  PADILLA,4250,-34.6605,-58.4676,-34.6031,-58.4397,6.874122471108395
17153176BAEcobici,137  -  AZOPARDO Y CHILE,016  -  LEGISLATURA,960,-34.6157,-58.3676,-34.6099,-58.375,0.935171091702054
17255662BAEcobici,251  -  SOLAR DE LA ABADIA,277  -  COGHLAN,1199,-34.5675,-58.437,-34.5658,-58.4755,3.5303294675783645
17180006BAEcobici,252  -  TAMBORINI,336  -  LA PAMPA,909,-34.5601,-58.4791,-34.5656,-58.4555,2.245910966944366
17205606BAEcobici,012  -  PLAZA VICENTE LOPEZ,168  -  ESTADOS UNIDOS,1025,-34.5928,-58.3888,-34.6185,-58.3815,2.934770778345837
17109761BAEcobici,091  -  PASCO,084  -  TEATRO PICADERO,556,-34.6174,-58.3976,-34.6042,-58.3937,1.510544947512381
17181484BAEcobici,345  -  PLAZA MAFALDA,280  -  JURAMENTO,1897,-34.5809,-58.4446,-34.579,-58.4841,3.622417972568914
